city,city_bis,city_nospace,city_nospace_bis,city_formatted
sonnaz,sonnaz,sonnaz,sonnaz,Sonnaz
saint leger,st leger,saintleger,stleger,Saint-Leger
le pontet,le pontet,lepontet,lepontet,Le-Pontet
saint sorlin d arves,st sorlin d arves,saintsorlindarves,stsorlindarves,Saint-Sorlin-D-Arves
la chavanne,la chavanne,lachavanne,lachavanne,La-Chavanne
saint georges des hurtieres,st georges des hurtieres,saintgeorgesdeshurtieres,stgeorgesdeshurtieres,Saint-Georges-Des-Hurtieres
thenesol,thenesol,thenesol,thenesol,Thenesol
sainte reine,ste reine,saintereine,stereine,Sainte-Reine
la giettaz,la giettaz,lagiettaz,lagiettaz,La-Giettaz
montvalezan,montvalezan,montvalezan,montvalezan,Montvalezan
albiez montrond,albiez montrond,albiezmontrond,albiezmontrond,Albiez-Montrond
saint jean de la porte,st jean de la porte,saintjeandelaporte,stjeandelaporte,Saint-Jean-De-La-Porte
les chavannes en maurienne,les chavannes en maurienne,leschavannesenmaurienne,leschavannesenmaurienne,Les-Chavannes-En-Maurienne
salins les thermes,salins les thermes,salinslesthermes,salinslesthermes,Salins-Les-Thermes
modane,modane,modane,modane,Modane
villaroux,villaroux,villaroux,villaroux,Villaroux
queige,queige,queige,queige,Queige
rognaix,rognaix,rognaix,rognaix,Rognaix
aussois,aussois,aussois,aussois,Aussois
jarrier,jarrier,jarrier,jarrier,Jarrier
saint ours,st ours,saintours,stours,Saint-Ours
ontex,ontex,ontex,ontex,Ontex
saint francois de sales,st francois de sales,saintfrancoisdesales,stfrancoisdesales,Saint-Francois-De-Sales
francin,francin,francin,francin,Francin
pugny chatenod,pugny chatenod,pugnychatenod,pugnychatenod,Pugny-Chatenod
gresy sur aix,gresy sur aix,gresysuraix,gresysuraix,Gresy-Sur-Aix
saint genix sur guiers,st genix sur guiers,saintgenixsurguiers,stgenixsurguiers,Saint-Genix-Sur-Guiers
freterive,freterive,freterive,freterive,Freterive
